Company / Entity Name,Effective Date,Agreement Type,OIG Status,Requires Training of Covered Persons/Entities,When Training Must Begin & Deadline,Mandatory Training Scope & Requirements,Official OIG Agreement PDF,HHS-OIG Listing URL
"Astellas Pharma US, Inc.","April 24, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Apr 24, 2019); Deadline: Jul 23, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/astellas-pharma-us-inc/
"Strauss Ventures, LLC d.b.a. the Grand Healthcare System, and Clearview Operating Co. LLC d.b.a. The Grand Rehabilitation and Nursing at Queens; Grand Mohawk Valley LLC d.b.a. The Grand Rehabilitation and Nursing at Mohawk; Barnwell Operations Associates LLC d.b.a. The Grand Rehabilitation and Nursing at Barnwell; Grand South Point LLC d.b.a. The Grand Rehabilitation and Nursing at South Point; Heritage Operating Associates LLC d.b.a. The Grand Rehabilitation and Nursing at Utica; River Valley Operating Associates LLC d.b.a. The Grand Rehabilitation and Nursing at River Valley; Chittenango Center LLC d.b.a. The Grand Rehabilitation and Nursing at Chittenango; Grand Great Neck LLC d.b.a. The Grand Rehabilitation and Nursing at Great Neck; Rome Center LLC d.b.a. The Grand Rehabilitation and Nursing at Rome; Guilderland Operator LLC d.b.a. The Grand Rehabilitation and Nursing at Guilderland; The Center for Rehabilitation and Healthcare at Dutchess, LLC d.b.a. The Grand Rehabilitation and Nursing at Pawling; and Grand Batavia LLC d.b.a. The Grand Rehabilitation and Nursing at Batavia","July 2, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jul 02, 2024); Deadline: Sep 30, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11179/Strauss_Ventures_LLC_DBA_The_Grand_Healthcare_System_et_al_07022024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/strauss-ventures-llc-dba-the-grand-healthcare-system/
"Pentec Health, Inc.","February 1, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Feb 01, 2019); Deadline: May 02, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/pentec-health-inc/
"Vanguard Healthcare Services, LLC, Vanguard Financial, LLC, and Boulevard Terrace, LLC, Vanguard of Crestview, LLC, Glen Oaks, LLC, Imperial Gardens Health and Rehabilitation, LLC, Vanguard of Memphis, LLC, Vanguard of Manchester, LLC, Elderscript Services, LLC, William D. Orand, and Mark Miller","January 9, 2019",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jan 09, 2019); Deadline: Apr 09, 2019","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/vanguard-healthcare-services-llc-vanguard-financial-llc/
"RAPHA Healthcare Services, LLC and Sharon Raynes Halliday","May 14, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 14, 2024); Deadline: Aug 12, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11151/Rapha_Healthcare_Services_LLC_and_Sharon_Raynes_Halliday_05142024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/rapha-healthcare-services-llc-and-sharon-raynes-halliday/
"Benzer Pharmacy Holding, LLC","May 7, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (May 07, 2024); Deadline: Aug 05, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11012/Benzer_Pharmacy_Holding_LLC_05072024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/benzer-pharmacy-holding-llc/
"ReNew Health Consulting Services, LLC and Crystal Solorzano","April 11, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Apr 11, 2024); Deadline: Jul 10, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11154/Renew_Health_Consulting_Services_LLC_Crystal_Solorzano_and_Chaim_Kolodny_04112024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/renew-health-consulting-services-llc-and-crystal-solorzano/
"Jai Shri Krishna LLC d.b.a. Pennmark Pharmacy and Antim Patel, RPH","January 7, 2024",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Jan 07, 2024); Deadline: Apr 06, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/10995/Antim_Patel_RPH_and_Jai_Shri_Krishna_LLC_DBA_Pennmark_Pharmacy_01072024.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/jai-shri-krishna-llc-dba-pennmark-pharmacy-and-antim-patel-rph/
Kalispell Regional Healthcare System,"September 24, 2018",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Sep 24, 2018); Deadline: Dec 23, 2018","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/kalispell-regional-healthcare-system/
"Life Health Medical Center, Inc. and Matthew P. D.C. Wood","November 16, 2020",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Nov 16, 2020); Deadline: Feb 14, 2021","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",N/A,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/life-health-medical-center-inc-and-matthew-p-dc-wood/
"Community Health Network, Inc.","December 18, 2023",Corporate Integrity Agreement (CIA),Active (2026),YES (Mandatory under OIG CIA Section III.C),"Begins Day 1 (Dec 18, 2023); Deadline: Mar 17, 2024","Mandatory General & Specific Training required for all Covered Persons (employees, executive officers, sales reps, medical liaisons, and contractors).",https://oig.hhs.gov/documents/cias/11030/Community_Health_Network_12182023.pdf,https://oig.hhs.gov/compliance/corporate-integrity-agreements/browse-cias/community-health-network-inc/
